25	-1	59	18	-3	68
46	82	44	84	-34	-19
-41	10	-49	-13	29	-37
-36	-49	-1	81	-34	-23
-46	26	12	-45	6	67
-36	-6	91	91	14	100
-33	-8	-40	-45	35	31
23	-7	22	73	-4	31
-49	-18	32	22	7	89
93	98	6	-48	81	56
-29	24	56	33	20	63
80	36	33	44	75	-35
-42	34	25	62	4	18
5	94	1	61	-42	-23
9	-28	86	-3	64	87
98	78	99	52	-11	57
-46	6	76	63	86	97
-16	15	50	4	51	-44
-35	19	54	16	25	-40
66	54	-21	2	-2	-26
38	64	91	92	91	81
-31	99	-46	51	-1	11
58	28	97	18	48	44
-48	-32	-14	-7	42	96
-33	-5	60	82	51	51
43	73	-35	73	63	92
97	-14	-44	78	-5	-8
24	65	21	-20	-44	9
82	24	-1	23	88	-50
76	60	64	67	-37	64
-15	26	-8	19	94	-21
-2	2	-8	-35	57	-48
-42	11	62	65	6	81
74	13	-40	77	94	1
-5	52	29	18	30	31
-40	58	-7	42	67	54
12	1	-47	-39	-14	19
-8	8	27	10	-41	-10
-39	37	43	21	34	63
33	3	75	25	52	-43
100	-37	-43	87	58	85
25	22	86	-5	82	-25
-14	-31	51	38	31	75
-15	-14	71	-40	-34	25
-22	88	46	48	-40	66
10	7	70	88	-32	-40
77	-48	25	-44	51	46
-28	69	-23	-13	90	46
26	76	65	-16	27	46
52	79	27	30	94	39
43	39	4	62	16	18
95	50	56	39	0	56
44	86	-24	94	-4	-28
-38	74	85	-16	57	9
34	-46	85	87	-49	-8
-4	23	12	-7	9	-7
-32	2	27	-49	93	41
100	11	-30	15	-40	82
-8	47	36	-26	-10	59
-9	-41	-12	-50	-49	99
56	26	-40	1	-40	52
-9	-43	78	91	-35	1
-18	18	-19	22	-10	43
8	76	22	-38	20	24
39	70	-25	43	-32	-4
-18	9	-9	-5	16	83
94	48	-41	69	46	83
71	-3	-22	55	36	11
-5	96	60	90	-43	-24
19	1	29	31	-7	64
71	63	45	15	-8	64
31	13	4	3	-33	77
70	16	32	15	54	75
-3	57	63	10	93	-22
-1	39	79	76	-47	82
-25	-16	24	19	36	99
48	68	-12	21	90	18
-12	43	53	27	8	98
-33	-33	96	95	87	36
40	-33	15	61	-40	11
26	-11	81	-26	14	91
-47	22	-34	-23	-49	16
86	58	76	-6	37	22
44	31	62	91	12	64
-13	-8	17	46	24	53
50	40	93	98	-18	72
52	34	48	91	-15	51
35	49	-34	55	59	4
54	-31	32	96	-47	5
53	-31	91	82	-47	73
-10	-23	78	51	63	66
27	-28	36	89	-30	12
95	-33	9	-13	-23	19
68	3	74	70	-8	80
-43	-15	26	91	1	-10
26	23	-24	6	32	70
-8	-2	20	32	-15	58
-44	56	-45	72	-9	65
55	-37	36	31	41	-31
8	-9	0	-24	6	71
-36	64	-27	-21	64	3
-27	26	31	52	-38	57
19	59	43	-42	-41	14
65	46	77	43	36	41
-47	-1	-30	66	46	-45
